input,category
这个会议室适合于学术会议，各位置到投影仪距离相近且无遮挡，C型、环形的桌子和椅子。,5
此虚拟会议室目的是开展展会，年会，空间宽敞，桌下空间支持灵活坐姿，凹形桌，整体较宽较长，桌面下空间大，座椅围摆在外侧，有投影，几面落地镜。,5
我想拿这个会议室进行晚会，年会。,1
这个会议室适合于大型报告，展会，晚会，年会，只有座椅但很密集，座椅前方空间宽阔，多列多排可下放式座椅，后排高于前排，无桌子。,0
我想拿这个会议室进行学术会议，投影仪居中且屏幕大，数排、数列带桌子的椅子。,0
这个会议室适合进行小组讨论，分散。,1
四排红色椅子，比较紧凑，面对一个方向，最前面有一个桌子，这个会议室适合进行展会、小型讲座。,0
好几组环形布局的桌椅，每组6个座位。,1
这个会议室适合于小组讨论，可自由挪动的桌椅方便自由组合，好几组环形布局的桌椅，每组6个座位。,1
此虚拟会议室目的是开展学术会议。,2
椅子围绕中心圆形放置逐渐向外扩展，最内圈是五把黄色的椅子，外围是黑色的椅子，两面有较大的窗户，红色的门，圆形排布利于讨论。,3
这个会议室适合于年会、晚会。,1
我想开展采访会议，学术会议，没有桌子，椅子分成若干层放置，每一层都排列成一个环，多层椅子形成多个同心圆，圆心处另外放置了5个椅子。,3
这个会议室用途是授课、班级或年级会议，类似教室的成列和成排的规律布局，按列和排规律分成三列排布，有两个过道。,2
有很多张桌椅子，能看到前面也能看到彼此，有许多张圆桌子，但是都分散在会议室各个部分，不靠在一起，每张桌子围绕着七张椅子，每个圆桌最前面没有椅子，这个会议室适合于年会、晚会。,1
单张长桌方便进行课堂上的小组讨论；整体布局方便会议主持者进行主持、演讲、授课，若干张长桌，每张长桌两侧有对称分布的办公椅，长桌之间有过道，投影，绿植，白板，这个会议室适合进行学术会议，课程会议。,1
我想开展小组讨论，环境私密，适合小组开会；圆形桌方便讨论交流。,4
这个会议室适合进行商务会议，例如董事会会议或者商务谈判，一张很大的原木色长桌，周围摆放着许多白色滑轮椅子，桌子的两端各有一把椅子。,4
分小组放的桌子，分小组分布，我想开展小组。,1
讲台桌子位于会议室前方右侧，三面座椅从正面、左侧面、右侧面集中面向会议室中央，正对黑板，四面无窗，天花板垂挂吊灯，会议室正面有三块白板，讲台位于前方右侧。,0
此虚拟会议室目的是开展展会，年会。,5
由若干组桌椅组成，12张椅子围着一个桌子，很多椅子围着一张桌子。,1
此虚拟会议室目的是开展学术会议，比较正式，作为宽敞，有投影仪，有扩音器。,2
成排的塑料椅，分成三列，有两个过道，没有桌子，这个会议室用途是新闻发布会。,0
这个会议室用途是小组讨论，小隔间，单桌。,4
这个会议室适合于学术会议，各位置到投影仪距离相近且无遮挡。,5
多点阵列，一桌一椅，教师前方有讲台黑板，侧面有窗户，光线明亮，此虚拟会议室目的是开展班会。,2
这个会议室适合于学术会议，没有桌子，简单排列着椅子，椅子排放整齐。,0
这个会议室适合于小组讨论，年会。,3
有好多个圆桌彼此分开，每个圆桌各有10个椅子，围绕着圆桌，最前面有一个大讲台，这个会议室适合进行年会、晚会。,1
椭圆形白色桌，围摆座椅，有立式白板，房间侧墙上悬挂多个尺寸的白板，条形灯光，这个会议室适合于小组讨论，工作讨论。,4
若干圆桌，配黑色绒面座椅环绕摆放，窗户，配红色窗帘，这个会议室用途是展会，晚会，年会。,1
四排电影院黑红色椅子，正前方有一个讲台，这个会议室适合于电影观赏会，电影试映会。,0
这个会议室适合进行年会，晚会，多张圆形○会议桌，每张桌子周围摆放着椅子。,1
这个会议室适合于强制参与人数的讲座，整体体积大，容纳人数多，且舞台上看不到后方，方便摸鱼。,2
座位多而整齐，两大列座位分布在道路两侧，每大列座位由数列、数行座位组成，天花板上有投影仪，我想开展年会。,0
宽松环绕，艺术墙，中心人数少。,3
这个会议室适合于小组讨论，开放式交流，一张小方桌，围摆三张沙发椅，有电子屏幕，房间一侧透明。,4
八张可活动椅子围着一张圆桌，可容纳人数较少、中心化、可活动较自由。,4
一张大桌子，很多张椅子，椅子围在桌子周围，布局集中，有是视线集中点，每个人对等。,4
由中心向外呈同心圆状排列，中心化，规模适中，有投影设备。,3
此虚拟会议室目的是开展公司企业的发展会议。,5
几十张圆桌均匀分布，每张桌子上10个座位，有一个主舞台，这个会议室适合于年会，婚礼。,1
会议室中间有一张圆桌，它的东南西北四个方向各有一排桌椅，这一排桌椅是由三个桌椅拼在一起的，一侧墙面有投影，它的对面和右侧是黑板，讲台在投影的左侧，这个会议室用途是小组讨论。,3
桌子和椅子一配一，围成版方形，有投影，这个会议室适合进行学术会议，小组讨论。,5
椅子围成一圈。,3
视线较集中，无桌子，氛围比较轻松，无桌子，椅子比较豪华，面向一个大屏幕，我想开展展会，晚会。,0
我想开展小组讨论，单张桌子环绕若干张椅子，显示屏，挂画，收纳柜，绿植。,4
这个会议室适合于年会、晚会，有很多张桌椅子，能看到前面也能看到彼此。,1
这个会议室用途是课程教学，桌椅分布在教师中间走廊的两侧，一张长桌对应两把椅子，一侧有三张长桌。,2
围绕房间中心拜访了多张椅子，没有桌子。,3
一张大桌子，很多张椅子，椅子围在桌子周围，有小黑板，我想拿这个会议室进行小组讨论，学术会议。,4
好多排椅子，没有桌子，都面向前方，排列整齐，没有桌子，排列紧密而且正式。,0
我想开展讨论会、咨询会。,1
布局由好几个桌椅围成的小圈组成，每个小圈由6张桌椅组成，分散性、私密性、隔离性。,1
这个会议室适合于小组讨论，工作讨论，椭圆形白色桌，围摆座椅，有立式白板，房间侧墙上悬挂多个尺寸的白板，条形灯光。,4
一张大桌子，座位分列两侧，空间富裕，桌子大。,4
环绕式摆放桌椅，座位放在外围，中心有小圆桌，也放置了椅子。,3
由内向外呈同心圆状分布，落地窗，采光好，大尺寸投影屏幕。,3
组内接近，多组圆形排列，这个会议室适合进行小组讨论。,1
有很多桌子很椅子，桌子排列呈U型，椅子全部分布在桌子的一侧，落地窗，投影仪。,5
这个会议室适合于年会，多排阶梯上排列联排教室椅。,0
我想拿这个会议室进行讨论会、沙龙，彼此面对，靠的很近，围成一个圈，一圈蓝椅子随意地围成一圈，椅子都面向中间。,3
无桌子，椅子随意排布，背景比较鲜艳，地板比较花。,3
这个会议室适合于小组讨论，组会，一张白色圆桌周围有八把白色。,4
标准圆圈状排列，窗户大且透光，基本无其他装饰，我想开展小组讨论。,3
我想拿这个会议室进行适合学术会议，有讨论和研究的氛围，长桌两侧各有几把椅子，有一个投影，会议室落地窗。,4
我想开展展示评价、头脑风暴。,3
有好多排白色的椅子，没有桌子，面向前方，这个会议室适合于讲座、学术会议。,0
长方形会议桌，周围环绕办公椅，投影仪，落地窗，地毯，吊灯，我想拿这个会议室进行学术会议，公司会议。,4
这个会议室适合于头脑风暴、经验分享。,3
好几组环形布局的桌椅，每组6个座位，有两台电视，可自由挪动的桌椅方便自由组合。,1
有许多张圆桌子，但是都分散在会议室各个部分，不靠在一起，每张桌子围绕着七张椅子，每个圆桌最前面没有椅子。,1
阶梯式，不分组，桌椅分布在阶梯会议室内的中间走廊两侧，最后一排没有走廊，这个会议室用途是晚会。,0
这个会议室适合于小组讨论。,3
此虚拟会议室目的是开展年会、晚会，圆桌。,1
房间内有很多圆桌，每张圆桌周围放约8张椅子，房间一侧有窗帘和窗户，另一侧有一个表演台，我想开展年会，晚会。,1
分小组分布，分小组放的桌子。,1
没有桌子，椅子排放混乱，这个会议室用途是学术会议，小组讨论。,3
此虚拟会议室目的是开展比较正式的会议，工作会议，学术会议，好几张桌子呈U型拼接在一起，即一个长方形但一个宽边没有桌子，椅子围着桌子外围摆放，一共有三侧椅子。,5
这个会议室适合于展会，投影仪位置居中，两大列座位分布在道路两侧，每大列包含数行、数列座位，道路尽头有讲台和投影仪。,0
有好多个圆桌彼此分开，每个圆桌各有10个椅子，围绕着圆桌，最前面有一个大讲台。,1
这个会议室用途是上课。,2
这个会议室适合进行学术会议，课程会议，单张长桌方便进行课堂上的小组讨论；整体布局方便会议主持者进行主持、演讲、授课。,1
我想拿这个会议室进行上课，讲台位置突出，主讲人突出，有黑板可以书写。,2
椭圆形桌子，两侧分布着椅子，两头中的一头有一把椅子，另一头有一个屏幕，左侧落地窗，正上方两个吊灯。,4
宽敞，成组，阵列式方形桌，每桌围摆座椅，我想拿这个会议室进行年会，晚会。,1
我想开展晚宴，婚宴，多个圆桌餐桌，周围配有椅子，有舞台、地板、音响。,1
两侧长桌对应了多把椅子，长桌中间有一短桌对应了四把椅子，每扇落地窗边各有一个沙发椅，商务。,5
有很多排椅子，没有桌子，有一扇门。,0
桌椅呈U字型面向投影排列，我想开展展会、年会、办公会议。,5
没有桌子，椅子排成一圈，有多圈，简易椅子，大房间。,3
桌椅分布在阶梯会议室内的中间走廊两侧，最后一排没有走廊。,0
此虚拟会议室目的是开展学术会议，小组讨论，黑板投影适合学术展示与交流，桌椅相邻较近适合讨论，面积不够大去开晚会，几张小桌围绕一个圆桌。,3
此虚拟会议室目的是开展小组讨论，课堂教学，环绕式，环绕式摆放桌椅，座位放在外围，中心有小圆桌，也放置了椅子。,3
这个会议室适合进行小组讨论。,3
由若干组桌椅组成，12张椅子围着一个桌子，这个会议室适合进行年会、晚会。,1
长桌两侧各有几把椅子，有讨论和研究的氛围。,4
此虚拟会议室目的是开展学术会议，桌子面向一个方向。,2
这个会议室用途是小组讨论，会议室中间有一张圆桌，它的东南西北四个方向各有一排桌椅，这一排桌椅是由三个桌椅拼在一起的，一侧墙面有投影，它的对面和右侧是黑板，讲台在投影的左侧。,3
这个会议室适合于学术会议，小组讨论，以小圆桌形式，讨论比较集中，桌子偏硬质正式。,1
这个会议室适合于大型报告，展会，晚会，年会。,0
我想开展项目展示、讨论项目，椅子很少，围绕一张桌子，面向多媒体，空间比较小，有投影仪、有电脑。,4
此虚拟会议室目的是开展上课，讲座。,2
我想开展年会和晚会等大型会议，所有椅子朝向主席台。,0
我想拿这个会议室进行讨论会、学术会议，小组分开，且都能看到正前方，有五张长方形桌子，彼此分开，不靠近，每个桌子四周围绕着五个椅子。,1
以小桌形式，一张桌子周围配置六个椅子，有小屏幕，这个会议室适合于学术会议，小组讨论。,1
我想拿这个会议室进行年会，晚会。,1
这个会议室适合于学术会议，展会，排列较为整齐。,4
一张桌子，五把办公椅，在桌子前面有一个电视。,4
一张长方形的桌子，四面都有椅子，竖着摆放，最前面有投影，最上面有吊灯，左边有落地窗。,4
无桌子，相同数量的椅子分布在会议室两侧，方向相对，我想拿这个会议室进行课堂讨论。,3
这个会议室用途是小组讨论、组会、教学类的会议，分散性、私密性、隔离性。,1
此虚拟会议室目的是开展小组讨论，学术会议，椅子围绕中心圆形放置逐渐向外扩展，最内圈是五把黄色的椅子，外围是黑色的椅子。,3
一张很大的原木色长桌，周围摆放着许多白色滑轮椅子，桌子的两端各有一把椅子，落地窗，壁挂电视，短绒地毯，装饰多为原木色、灰色、白色的商务风格，可容纳人数多，宽大的长桌，桌椅比较精致舒适，商务风的装饰。,4
无桌子，有椅子，椅子为折叠的沙发椅，围成大的半圆形，整体颜色为蓝色，有讲台，这个会议室适合进行学术会议，展会。,0
这个会议室适合进行小组讨论，桌子和椅子围在一起。,1
这个会议室用途是课堂。,2
椅子随意摆放，无桌子，椅子随意摆放，可以随意讨论。,3
压抑，椅子很多。,0
没有桌子，没有桌子，椅子拼成一个圈，只有椅子，窗户，我想开展小组讨论。,3
四组长桌椅分布在会议室的两侧，每侧各两组，每张长桌对应五把椅子，讲台在会议室前中央，窗户在讲台对面，分组。,1
此虚拟会议室目的是开展学术会议、研讨会。,5
我想拿这个会议室进行小型课堂，交流课堂，整齐放置多排长桌子，每排桌子放置椅子，有窗户。,2
桌子很大，长条桌，周围是椅子。,5
没有桌子，环绕式摆放几张椅子，只有椅子。,3
这个会议室用途是商业会议。,4
此虚拟会议室目的是开展小组讨论，学术会议。,3
我想拿这个会议室进行小组讨论，布局紧凑，圆桌能让所有人面对面，一张圆桌周围有五张椅子。,4
我想开展小课堂，整齐分布，较为紧凑，2列3排。,2
这个会议室适合于小组讨论。,4
五排半圆形长桌，每一排10余张椅子，椅子数量每排递增，前方和后方都有黑板和白板。,2
这个会议室用途是新闻发布会，成排的塑料椅，分成三列，有两个过道，没有桌子。,0
四张椅子围绕桌子的三面，投影靠墙，面向参会人群。,4
两大列座位分布在道路两侧，每大列座位由数列、数行座位组成，天花板上有投影仪。,0
一张小方桌，围摆三张沙发椅。,4
没有桌子，椅子分成若干层放置，每一层都排列成一个环，多层椅子形成多个同心圆，圆心处另外放置了5个椅子，圆心处另外放置了5个椅子。,3
我想拿这个会议室进行访谈，开放式讨论，围绕中心，摆放灵活。,3
所有座位环绕中心布局，只有椅子放射状布局，会议室四周各自有投影，我想开展讲坛。,3
我想开展晚宴，婚宴，餐桌。,1
这个会议室适合于电影观赏会，电影试映会，四排电影院黑红色椅子，正前方有一个讲台。,0
此虚拟会议室目的是开展学术会议、展览报告、宣讲会、讲座，座椅较多且面向前台，前方空间较大，可供人活动和讲演，讲台桌子位于会议室前方右侧，三面座椅从正面、左侧面、右侧面集中面向会议室中央，正对黑板，四面无窗，天花板垂挂吊灯，会议室正面有三块白板，讲台位于前方右侧。,0
这个会议室适合于小组讨论，四张椅子围绕着一张小桌子，一共有多组这样的桌椅组合布满整个房间。,1
方形会议桌，桌子周围排列着椅子，这个会议室适合进行学术会议，小组讨论。,5
三大列桌椅，共12排，最前方有一个讲台。,2
桌椅布局较为整齐，椅子排列有序。,0
这个会议室适合进行小组讨论，多组圆形排列，每组一张桌子。,1
这个会议室适合进行小组讨论，八张可活动椅子围着一张圆桌。,4
多列多排可下放式座椅，后排高于前排，无桌子，只有座椅但很密集，座椅前方空间宽阔。,0
多，正式，有舞台，拥挤的八人桌，此虚拟会议室目的是开展年会，晚会，拍卖会。,1
阶梯式，座椅多，弧形桌，后排高于前排，皮质椅，这个会议室适合于大型课堂教学，讲座，学术报告。,2
这个会议室适合进行学术会议，桌子椅子间隔排列，会议室很大，窗户很多。,2
大会堂，阶梯，多排桌子，大会堂。,2
一张桌子配一张椅子，围在一起，桌椅平均布局，无中心点。,5
阶梯教室多排桌椅，宽大的窗户，前方有个讲台，典型的教室。,2
这个会议室用途是学术会议。,0
这个会议室用途是研讨会、组会、小组讨论，一个长方形桌子，桌子两边有十几张椅子。,4
此虚拟会议室目的是开展上课，讲座，一共有八列六排，两列为一组，中轴线对称摆放。,2
这个会议室适合于年会。,0
我想开展学术会议、小组讨论，普通的教室布局，有四排椅子，每排椅子前都由两个长桌拼成桌子。,2
四张椅子围绕着一张小桌子，一共有多组这样的桌椅组合布满整个房间，房间墙侧有一棵盆栽，房间中间有两根柱子，分组布局，每组可以方便交流。,1
左上方的讲台有一张桌子，前方和右方有直角的桌子，桌子旁边有多把椅子，这个会议室适合进行小组讨论。,5
好几张桌子呈U型拼接在一起，即一个长方形但一个宽边没有桌子，椅子围着桌子外围摆放，一共有三侧椅子，每个人既可以看到彼此的面部，也可以看到白板的内容，在能认真听讲话人讲话的同时，还能够面对彼此，一定程度上促进交流。,5
此虚拟会议室目的是开展小组讨论，布局分散。,3
五列圆桌，每个圆桌围绕半圈椅子，椅子都朝向正前方。,1
一张大长桌两侧分布了多把椅子，长桌一头有一把椅子，窗户集中在会议室一侧，我想开展学术会议、企业商业会议。,4
我想开展讲坛。,3
桌子在中心，有一圈椅子围绕在桌子附近，还有一圈椅子环绕在外面，这个会议室适合于小组讨论，年会。,3
阵列式方形桌，每桌围摆座椅，大型吊灯，有大投影屏幕，空间宽敞。,1
此虚拟会议室目的是开展看电影、看表演，没有桌子只有椅子，很多排椅子，四周都是墙壁，天花板上有灯。,0
整齐放置多排长桌子，每排桌子放置椅子，有窗户，我想拿这个会议室进行小型课堂，交流课堂。,2
这个会议室适合进行讨论、沙龙。,3
数个椅子围绕着一个C字形的桌子的外沿均匀分布，会议室的灯光偏暖，桌子C字开口的对面有个白板，比较小，参会者距离近，有方便讨论的白板。,5
这个会议室用途是公司会议，皮质椅子，一张桌子。,4
这个会议室用途是工作会议，设备先进，座椅高档，环境明亮。,4
这个会议室用途是小组讨论。,5
此虚拟会议室目的是开展交流型学术会议，年级破冰，团建游戏，演讲。,3
这个会议室用途是小组讨论，私密性好。,4
成组分散，座椅围坐，分组摆放。,1
中间一圈较少的椅子作为中心，发散分布若干圈椅子。,3
单张桌子环绕若干张椅子。,4
我想开展学术会议，视线比较集中在前部。,2
桌椅呈弧形阶梯布局，空间较大，类似大学教室的结构，射灯，有二楼空间。,2
这个会议室适合于大型课堂教学，讲座，学术报告，弧形桌，后排高于前排，皮质椅，有大窗户，房间前有白板和屏幕，灯光柔和。,2
较长的矩形桌，座椅围绕摆放，有电子屏幕，落地窗，这个会议室用途是工作会议。,4
一个圆桌，旁边围着很多椅子，我想开展小组讨论。,4
椅子很多，压抑，我想拿这个会议室进行年会。,0
我想开展学术会议，办公会议，校园展览。,5
这个会议室适合进行学术会议，课程会议。,1
面对面布局，整个会议室分为五组桌椅，每组桌椅是由梯形单人桌围城的六边形大桌，周围有六把椅子，这个会议室用途是小组讨论。,1
我想开展班会，几排桌子面向前面，六张桌子组成三排，中间有一个过道，每排桌子有8个椅子。,2
此虚拟会议室目的是开展看电影、看表演，很多排椅子，没有桌子。,0
这个会议室用途是学术会议，小组讨论。,5
长方形会议桌，周围环绕办公椅，投影仪，落地窗，地毯，吊灯，大会议桌。,4
桌椅数量大，房间内有很多圆桌，每张圆桌周围放约8张椅子，我想开展年会，晚会。,1
好几张桌子呈U型拼接在一起，即一个长方形但一个宽边没有桌子，椅子围着桌子外围摆放，一共有三侧椅子。,5
我想拿这个会议室进行展会，晚会，灯光比较集中在前部舞台，椅子比较豪华，铺了地毯。,0
每四张矩形桌子拼成一个更大的矩形，有讲台，有投影仪。,1
若干张长桌，每张长桌两侧有对称分布的办公椅，长桌之间有过道，投影，绿植，白板，这个会议室适合进行学术会议，课程会议。,1
我想开展教室上课，桌椅一体化，不可移动。,2
有讲台，有投影仪，每四张矩形桌子拼成一个更大的矩形，桌子左侧有讲台和投影仪，这个会议室适合于学术会议。,1
外圈两排椅子围绕着内圈的四张沙发，其中两张沙发之间有一个小圆桌，我想开展小型座谈会。,3
几张桌子拼成u的形状，即三面有桌椅，一面没有桌椅，每个桌子前都有椅子，我想开展讨论会、公司决策会。,5
这个会议室适合于年会，主席台上可以坐领导。,0
桌子只有一张，椅子只有4个，围绕在桌子的一端，桌子另一端面对放映机，我想拿这个会议室进行项目展示。,4
我想开展公司会议、决策性会议、讨论，做得很近，而且互相面对，可以看到每个人的表情，一张长方形的桌子，四面都有椅子，竖着摆放，最前面有投影，最上面有吊灯，左边有落地窗。,4
这个会议室用途是讨论、沙龙，没有桌子，都面向中心点，容易观察到每一个人的表情。,3
没有桌子，椅子从房间头到房间尾由低到高放置在阶梯上，全部面朝同一方向，椅子面朝的方向有一面投影幕布，房间中间的天花板上有投影仪，房间内无窗，灯光偏暗，房间一侧有一个挡板。,0
这个会议室适合进行小组讨论、小型报告、年会，桌子分散，且有中间焦点，五张桌子分布摆放，其中一张桌子位于会议室正前方，四张桌子两两分散在左右两侧，每张桌子配置五张椅子，每张桌子旁的椅子摆放结构与桌子和会议室的相对关系相同，正前方桌子面向窗户，两侧窗帘为暗灰色，天花板为LED顶灯。,1
我想拿这个会议室进行适合学术会议，长桌两侧各有几把椅子，有一个投影，会议室落地窗。,4
这个会议室适合进行学术会议，环绕的长桌和椅子。,5
这个会议室用途是商业会议，空间富裕，桌子大。,4
这个会议室适合于大型会议，政治会议，座椅多，桌子长。,5
整个会议室分为五组桌椅，每组桌椅是由梯形单人桌围城的六边形大桌，周围有六把椅子，面对面布局。,1
有好多排白色的椅子，没有桌子，面向前方。,0
桌子排列为一个凹型，椅子放置在桌子旁，凹的一端面对投影幕布，有投影仪，有窗户、窗户边还有沙发。,5
桌椅排列成一个缺了一条边的长方形。,5
此虚拟会议室目的是开展学术会议，投影仪居中，同一桌子的人到投影仪的距离相近。,2
围桌，长条桌子，旁边有很多椅子。,5
这个会议室适合于股东大会，桌椅和地毯看起来挺贵的，长桌的两侧各有一排椅子对称分布，长桌首部有屏幕，长桌上有果盘。,4
这个会议室适合进行学术会议。,5
此虚拟会议室目的是开展小组讨论，课堂教学，环绕式摆放桌椅，座位放在外围，中心有小圆桌，也放置了椅子。,3
分布较为紧凑整齐，整齐分布，较为紧凑，2列3排，我想开展小课堂。,2
四排桌子，每个桌子有4个椅子，此虚拟会议室目的是开展小组讨论。,2
我想拿这个会议室进行学术会议。,0
这个会议室适合于小组讨论。,1
我想拿这个会议室进行课堂讨论，无桌子，相同数量的椅子分布在会议室两侧，方向相对，会议室一侧有讲台。,3
若干圆桌，每张桌子配椅子环绕摆放，有舞台，更适合调动晚会氛围，提供表演环境；圆形桌椅摆放适合晚会布局需求，方便交谈。,1
有很多排桌子和很多排椅子，有很多窗户，这个会议室适合进行上课。,2
我想开展晚会，学术会议，年会，大会堂。,2
几张小桌围绕一个圆桌，有投影，多块黑板，许多便笺，灯光明亮，此虚拟会议室目的是开展学术会议，小组讨论。,3
这个会议室适合进行课程、小组讨论。,2
五排椅子，每排椅子都有四张桌，都面向前方且有桌子。,2
小会议桌，围绕5-6把办公椅，小房间，有显示器、地毯，没有窗户，小会议桌。,4
三边U形布局的长桌，长桌的外侧有多把椅子，座位环绕布局适合交流。,5
我想开展小组讨论，研讨课，活动筹备会议。,3
五排桌椅，两侧有过道；每个带桌布的长桌配四张椅子。,2
有白板，椭圆形白色桌，围摆座椅，这个会议室适合于小组讨论，工作讨论。,4
我想拿这个会议室进行上课教学，两侧有多排长桌，每个长桌后有两把椅子。,2
环绕式，环绕式摆放桌椅，座位放在外围，中心有小圆桌，也放置了椅子，此虚拟会议室目的是开展小组讨论，课堂教学。,3
桌椅呈弧形阶梯布局，空间较大，类似大学教室的结构，射灯，有二楼空间，这个会议室适合进行展会、晚会、学术会议、课堂。,2
有一个讲台，以及一排连着的桌子和椅子，有一个白板。,5
我想拿这个会议室进行小组讨论，面积适合，座位有限，面对面互动性强，以教室中轴线为分界线，两边对称，每一边由内向外呈扇形分布，正常教室布局结构。,3
凹形桌，整体较宽较长，桌面下空间大，座椅围摆在外侧，此虚拟会议室目的是开展展会，年会。,5
我想开展小组，分小组分布，没有窗户感觉很压抑。,1
这个会议室适合进行小组讨论。,5
这个会议室适合于股东大会。,4
围绕主持人成圆圈型分布，两个投影仪一面大落地窗，围绕主持人每个人的发言都比较直接。,3
这个会议室适合进行小组讨论，分散，分散。,1
4*5分布的可收起座位，没桌子开不了正式会议，又挤，不适合娱乐。,0
这个会议室适合于大型会议，政治会议，座椅多，桌子长，大型较长的凹形桌，座椅紧密排布，有投影，灯光辉煌明亮，中间一盆绿植。,5
阶梯教室里有7排椅子，中间有过道，除最后一排是14个椅子，其他排都是12把椅子，4个窗户，一个投影仪，木质地板，光线明亮，蓝色椅子，椅子数量较多，可以容纳很多与会者，满足了听众多的要求，所有椅子面向同一个方向，方便参与者观看同一个演讲或者演示。,0
这个会议室用途是学术会议，有七排椅子呈阶梯状分布，并且分为左右两部分，没有桌子。,0
许多个桌子拼成U的形状，三面桌子前有椅子，桌子上有白纸和水，最前面有投影。,5
我想开展小组讨论，规模小，布置简单，去中心化结构，面对面互动性强，标准圆圈状排列。,3
桌椅呈矩形规则分布，这个会议室适合于班会。,2
这个会议室用途是工作会议，较长的矩形桌，座椅围绕摆放。,4
这个会议室用途是工作会议，设备先进，座椅高档，环境明亮，较长的矩形桌，座椅围绕摆放。,4
可自由挪动的桌椅方便自由组合，好几组环形布局的桌椅，每组6个座位，有两台电视，这个会议室适合于小组讨论。,1
这个会议室用途是小组讨论，年会。,4
我想拿这个会议室进行年会，晚会，若干圆桌，每张桌子配椅子环绕摆放，舞台，显示屏，壁灯，落地窗帘。,1
可以容纳大量参会者，主讲台有麦克风，大量的座位呈扇形同心圆围绕着主演讲台分布，这个会议室适合于学术报告。,0
以小桌形式，一张桌子周围配置六个椅子，以小圆桌形式，讨论比较集中，桌子偏硬质正式。,1
几排桌子面向前面，六张桌子组成三排，中间有一个过道，每排桌子有8个椅子，我想开展班会。,2
弧形桌，后排高于前排，皮质椅。,2
有四排椅子，每排椅子前都由两个长桌拼成桌子，两边围绕窗户，我想开展学术会议、小组讨论。,2
很多排椅子围成几个同心圆，没有桌子。,3
这个会议室用途是讨论、沙龙。,3
环境私密，适合小组开会；圆形桌方便讨论交流，每个房间只有一张圆形桌子，配若干休闲靠背座椅，吊灯，显示屏，我想开展小组讨论。,4
此虚拟会议室目的是开展小组讨论，桌子和椅子成组。,1
我想开展晚宴，婚宴。,1
桌子椅子围成半方形，有一张独立的桌椅，有装饰，有投影仪，这个会议室用途是学术会议，小组讨论。,5
我想开展小组讨论。,3
这个会议室适合进行沙龙。,3
我想开展感觉做啥都不行。,0
弧形桌，后排高于前排，皮质椅，有大窗户，房间前有白板和屏幕，灯光柔和，阶梯式，座椅多。,2
此虚拟会议室目的是开展小组讨论，大致呈园圈状排列。,3
房间内有很多圆桌，每张圆桌周围放约8张椅子，房间一侧有窗帘和窗户，另一侧有一个表演台，桌椅数量大。,1
这个会议室适合进行展会、晚会、学术会议、课堂。,2
椭圆形桌子，周围排列着椅子。,4
